,,,,Please ensure that you join our Slack group so that we can communicate with transcribers: ,,,,,,https://join.slack.com/t/codethecity/shared_invite/zt-ebfpmtdt-wMnHGebBCNJTCEInaYCwNw,,,,
UUID,Date of Arrival (dd-mmm-yyyy),Number,Ship's Name,Of What Port,Master,Registered Tonnage,Port From Whence,Cargo,Wind and Weather,Other Notes,Transcriber Notes,Transcribed by,Checked by,Queries
119cbaa0-16c1-4eda-8f2c-71d5f1194d6f,01-Jan-1914,1,Granite City,British,Mutch,8,Buckie,Towing,"Wind westerly light, weather clear cloudy occasional slight haze sea smooth",,,Kate Pangbourne,Ian Watt,
de722a74-3f89-4756-ae85-858b4b7133e4,01-Jan-1914,2,Seafield ,British,(blank),29,Buckie,To Fit Out,,,BCK680,Kate Pangbourne,Ian Watt,
8546a9e4-09f8-4684-9b61-75906aba1f77,01-Jan-1914,3,St Sunniva ,British,Johnston,363,Leith,Goods,,,,Kate Pangbourne,Ian Watt,
b9882958-0f56-4256-aa41-2546d04e0598,01-Jan-1914,4,Luddick,British,Barron,213,Hull,Goods,,,,Kate Pangbourne,Ian Watt,"Pretty sure this is the Luddick, not Puddick. See https://collections.rmg.co.uk/collections/objects/643414.html "
3bac426a-42bd-4ba6-9438-9ab8ec8938b9,01-Jan-1914,5,Princess Caroline,British,Lockeld,361,Dundee,Goods,,,,Kate Pangbourne,Ian Watt,
a479aacc-b58e-47a3-bb56-f9c3601d1fd7,01-Jan-1914,6,Earl of Aberdeen,British,Dove,351,Newcastle,Goods,,,,Kate Pangbourne,Ian Watt,
2bbf5717-74ed-40b9-b3d8-ecdbee06d64b,01-Jan-1914,7,Thrift,British,Mackay,208,Sunderland,Coal,,,,Kate Pangbourne,Ian Watt,
ff7a71a1-3688-4a44-a7cc-198e88f289aa,01-Jan-1914,8,Aberdon,British,Ross,497,Seaham,Coal,,,,Kate Pangbourne,Ian Watt,Could be Aberdour rather than Aberdon? 
adf609b6-0c97-4cc5-91b8-65516d48c811,01-Jan-1914,9,Aberdonian,British,Dowman,747,London,Goods,,,,Kate Pangbourne,Ian Watt,
7d53057b-22d4-48ac-bfc9-9585159cd1bc,01-Jan-1914,10,Schooner Elena,Danish,Pedersen,59,Ronneby,Granite,,,Ronneby is in Sweden; it appears to have navigable waters to the sea,Kate Pangbourne,Ian Watt,What does F / BF / BFDC in date column mean? often in red?
d4543a2c-bdb8-472c-a3b4-99b85149e2f4,01-Jan-1914,11,Coaster,British,Henderson,82,Rotterdam,Petroleum,,,AG: Row 1275 in the ledger shows a ship called Coaster with a master called Henderson,Kate Pangbourne,Ian Watt,
a2e010e6-2797-471b-be28-3f084422625f,01-Jan-1914,12,Ailsa,British,Towers,29,Berwick,Manure,,,,Kate Pangbourne,Ian Watt,
3197bb5a-d491-4937-988a-326d930850a6,02-Jan-1914,13,St Ninian,British,Williamson,292,Leith,Goods,"Wind north by west moderate weather clear, cloudy sea smooth",,,Kate Pangbourne,Ian Watt,
fe05ccd9-c214-4755-be3d-6437170d4260,02-Jan-1914,14,St Nicholas,British,Gray,454,Stromness,Goods,,,,Kate Pangbourne,Ian Watt,
